Year,Month,Week,Infected,Avg household size,Population,Under_18,18-24,25-44,45-64,Above_65,Median_age,indexedCountry,indexedRegion,indexedDisease
2010,10,40,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2010,10,40,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2010,10,40,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2010,10,41,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2010,10,41,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2010,10,41,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2010,10,42,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2010,10,42,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2010,10,42,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2010,10,43,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2010,10,43,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2010,10,43,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2010,11,44,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2010,11,44,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2010,11,44,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
2010,11,45,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,0.0
2010,11,45,1,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,1.0
2010,11,45,0,2.3,304086,19.9,13.2,25.2,27.7,13.9,38.5,46.0,1.0,2.0
